generation,best_id,best_genotype,best_fitness,diversity
0,indi_0_733,"[95.00480673478759, 39.031785194902255, 0.31808764884347973, -2.6410924213002516, 0.06169768406129847, 0.00036399852854630935, 0.03627076985056423, 0.0047664471267924715, 0.06776905816601893, 0.02829271421229771, 0.5812145936255836, 0.025987118470764205, 0.12383209616077732, 0.010338184379399339, 0.0811833992534633, 0.4137011626055758, 3.7440398585764734, 0.3947938634249401, 0.6428258120556134, 0.5821238182329731]",2450.0579694143103,8091.171028557987
1,indi_1_38,"[137.94780093647591, -16.70927922836927, 19.2047298167664, 0.4617892545278268, -61.73410547707813, -61.53346241521175, 99.38376503611092, -11.159747184425505, -88.91207437681588, -24.41459934217138, 18.17474113416744, -90.95034576192296, 61.98727954368973, 36.76286316265494, -28.898190182449305, -35.377866903351915, 28.262320028984625, -71.09650115133002, -63.957033025575214, -83.43584780194723]",460.38002218199097,21433.584304703203
2,indi_2_338,"[125.10817098677376, -6.90583756026092, 4.29303873324502, 0.28607971803671495, 4.121189085959383, -1.213101268561652, 55.3899431391226, -8.056781196884733, -32.65120533112947, 62.77358131708509, -15.211336225711802, 7.527811573214945, -39.336687487659844, 43.95820269674691, 26.04055494839748, -14.476312230540469, 17.53005874142795, 11.70174421406749, -50.767881747212726, -25.674609256428695]",107.07434642696306,39668.77451810677
3,elite_3,"[125.10817098677376, -6.90583756026092, 4.29303873324502, 0.28607971803671495, 4.121189085959383, -1.213101268561652, 55.3899431391226, -8.056781196884733, -32.65120533112947, 62.77358131708509, -15.211336225711802, 7.527811573214945, -39.336687487659844, 43.95820269674691, 26.04055494839748, -14.476312230540469, 17.53005874142795, 11.70174421406749, -50.767881747212726, -25.674609256428695]",107.07434642696306,48193.7320858688
4,indi_4_112,"[121.54835043338802, -4.537958564506206, -41.126914638160905, -0.0804958660903754, -35.437048179813715, 7.607154445300966, 61.836410853334286, -8.545570383201023, -40.95460117385135, -18.915220563016522, -40.76047048027384, -16.859573255496034, 20.932518452902922, 6.257036366231213, 26.44965243821056, 25.727067527473864, 9.557652268749276, 51.507843544816716, 5.476345333509937, 26.676319805589344]",66.30528603999144,41919.31573327156
5,indi_5_608,"[2.334809438376424, 1.6730684886251481, 6.807799029786379, 0.050136872847736824, -42.900682751377715, -14.258513822745405, -15.96008824946197, -5.080058013375004, -3.059650003939672, -42.96760871025136, -3.9079720410388425, 5.430996816174611, -20.57489401424727, 37.2925772199285, 13.431906802997831, -71.32377794779129, -2.9486960619659217, -61.10520409656771, -37.03656583705598, 53.549540056483956]",30.986871207085198,33391.56313137298
6,indi_6_672,"[24.369405861202566, 1.8408017162844823, 8.508793004846629, 0.0591025296985008, -24.93324092531224, -5.677438694612339, -5.0716589049598895, -11.418235554981885, -17.700551232410046, -30.232298617424057, -3.030214991422266, -9.688499566911522, -12.103985459204821, 33.455203095209505, 8.252286450568981, -27.736999706363243, -2.489309379867499, -47.36320834738437, -42.71235879617916, 1.365413730813235]",22.004255075697174,28742.44291778176
7,indi_7_907,"[90.48265098069945, 0.5506791027704144, 9.247528850057957, -0.06280890297062469, -23.019769127544055, -5.673193424410995, -21.889576199996583, -9.261583013133334, 8.996874250424733, -30.73078274646757, 1.7603446085317718, 2.2672019063882525, -14.62793934000795, 31.084126462041407, -8.29562090408515, -26.99512315102588, -2.564812053694766, -20.949549630434877, -37.84938334869789, -16.436159766802]",13.769869006485422,26497.798196438867
8,elite_8,"[90.48265098069945, 0.5506791027704144, 9.247528850057957, -0.06280890297062469, -23.019769127544055, -5.673193424410995, -21.889576199996583, -9.261583013133334, 8.996874250424733, -30.73078274646757, 1.7603446085317718, 2.2672019063882525, -14.62793934000795, 31.084126462041407, -8.29562090408515, -26.99512315102588, -2.564812053694766, -20.949549630434877, -37.84938334869789, -16.436159766802]",13.769869006485422,23219.044145869077
9,indi_9_201,"[90.51711190854579, 0.5543771557026477, -6.2654702317946045, 0.041879502126068766, -13.127612566542643, 2.1688267165189914, 25.152878702602024, -14.08232755439102, -20.637949929198328, 8.272552867855545, -24.037018607347854, 1.3675795805564879, -14.326234583421627, 22.03714473709158, -6.606481127153122, -19.661190473611455, -3.181827541399235, -21.975575589008628, -21.81652011311089, -4.648241503226457]",12.792030032112722,23459.064985346286
