generation,best_id,best_genotype,best_fitness,diversity
0,indi_0_148,"[70.43178189203594, 6.949662337974568, 0.32907439805588257, -4.048136916312517, 0.7656413794960857, 1.6820946174322413, 3.186742074913739, 5.9677991112901765, 0.370522395049068, 5.602118840995435, 0.8133323132302807, 0.6554298125752714, 10.914463532783438, 0.015531638961346345, 5.401780571915452, 4.5990882175374255, 8.07070928431595, 4.738782474983188, 10.23364873700032, 10.867174645237942]",380.44266183386475,8993.040281028316
1,indi_1_204,"[58.47118225149333, 2.1218394215001415, 0.49286120907874903, -2.528111341587161, 0.38095782863620187, 0.2713842032486205, 2.8178519122475656, 1.1760008538847762, 5.909148484660226, 2.006473633918496, 6.334225224031703, 2.185281070992208, 5.746040172352674, 6.738905857231157, 7.089736150669944, 10.185018063291945, 14.28042546146438, 8.41059691798953, 7.669879544923121, 12.872867666321417]",300.96686600082194,243230.944453714
2,indi_2_298,"[125.85590894322989, 1.7605925497212809, 0.41340557930518984, -3.6924131457455482, 0.3632262595090676, 0.2893135604272424, 1.9231696363154138, 3.407634222846089, 2.8488514504465314, 5.425933178257764, 5.499411393530001, 0.4918330915754489, 8.577891134938318, 2.279549523913671, 8.831423495658658, 12.977492785928366, 9.90829506861447, 3.140710874518745, 13.485438040557796, 10.083388280036893]",230.8139524896727,201493.006330657
3,indi_3_564,"[53.89573389135497, 1.8585009754768835, 0.2905541343531236, -2.346710551383774, 1.193685308860111, 2.338467554569143, 2.746767653279026, 5.319180788535679, 1.374745407300496, 7.354847281547645, 6.408715451768428, 1.637937871616832, 2.7053315983397135, 6.576492625347359, 1.5750804009676254, 8.311599000659761, 9.400821273394085, 1.703043926683628, 10.36875815595798, 5.0685277242776605]",198.0191100239485,208548.50960599235
4,indi_4_319,"[28.035596425692386, 2.092174316190615, 0.3017095156715411, -2.346543969908723, 1.935715757529454, 2.0322012171042387, 2.9725313241138567, 2.441159095814063, 2.1989201841471466, 6.106720504127578, 6.344646483975384, 2.1831451472243106, 4.719671817196719, 7.224169824344912, 2.583591539458853, 5.524743615817155, 8.951198025778563, 2.594902319019875, 6.120876017354578, 6.873150801078649]",181.65914307791468,240088.90979163005
5,indi_5_143,"[39.58428847457926, 1.3016210278449611, 0.228609411579028, -2.8170419505939686, 1.4084269079329699, 1.9364142986822068, 2.8947446262586807, 3.3116134607900616, 2.4800095714806902, 2.160485173084187, 1.8853836738837293, 4.434828322667664, 4.670903845920322, 4.873225899965858, 6.9058570725341255, 5.765823363258505, 9.002228952148169, 5.859107699441456, 10.927321652994962, 7.865298573718986]",166.14162599281667,204947.68927098214
6,indi_6_648,"[32.83914313201097, 1.3462539282342179, 0.24159250838221996, -2.8850262039166545, 1.4881337948721456, 1.8207208886170834, 2.921938467091315, 3.3464734813012, 2.4860504951080915, 2.7466753057101556, 3.4847249150982664, 3.9712431881173043, 6.040599499799044, 5.627672814840317, 6.546685218566974, 5.580990952887201, 8.937087039917559, 5.509845019349203, 6.759350249471901, 7.868585674598696]",165.78803200013803,211426.1312552492
7,indi_7_641,"[33.9861720748793, 1.368607731191742, 0.23869961704861786, -2.634692340449951, 1.4659703551558039, 1.936323693978592, 2.959489815361639, 2.9074996286771437, 2.417363639018185, 2.7466424606481645, 2.3841517162278607, 3.5235434198353115, 5.865575497509189, 5.384654480278594, 5.10873267575349, 5.735838000757503, 8.988247798215982, 5.531029197542197, 8.128073492691385, 7.933549636460002]",160.85103461578996,217626.01979728727
8,indi_8_50,"[36.42631729693284, 1.3989344194256232, 0.24447350785407418, -2.6387690959554235, 1.2807850244025198, 1.821496456338221, 2.8720876612019284, 3.1034777373612474, 2.4155725721781365, 4.2147107250743305, 3.5911812505618883, 3.9170740355031732, 5.704633961749217, 5.883477968565952, 3.9335061367858604, 5.936773627862303, 8.426114728018893, 3.5812001204327335, 8.342588616262045, 8.271330232243619]",157.6705794185894,226675.26627404982
9,indi_9_419,"[34.58934241978892, 1.3703786348050608, 0.24189183765837674, -2.572399109105697, 1.4867662596172677, 1.8298975154021428, 2.9107200389660557, 3.333070953558914, 2.417379213011631, 3.648913608909419, 3.4721615442450253, 3.9690632137371824, 5.629724893706632, 5.301702988288098, 4.633343425165078, 6.1318198419541154, 8.44218500675035, 4.484163117499984, 9.555725317306528, 8.478396907335183]",156.26610879664972,218955.8049914348
10,indi_10_173,"[32.02308589792588, 1.3100883333907731, 0.25951896608292596, -2.594612200556324, 1.3494023397550272, 1.8200153877252707, 2.8008938864297885, 3.3851786614243102, 2.5115845516003565, 2.6438077595487424, 3.128435598930954, 4.013832887832752, 5.054848670316139, 5.083674877172498, 5.754204612506469, 5.925752592678489, 8.539517487391162, 5.251330920592811, 9.184147713700236, 8.375797055456616]",155.35581831821125,203582.1933963806
11,indi_11_533,"[28.31588950124679, 1.3507812899333171, 0.24615863009681363, -2.5648017419835476, 1.3580732153575523, 1.8360850160476958, 2.825015224793123, 3.36671054745219, 2.450793526050363, 4.0883603556774375, 3.3812089025719967, 3.901904691169955, 5.524486361205766, 5.290269125327306, 5.155006070190536, 6.257833769467613, 8.469007291811115, 5.131011067288236, 9.248830963379037, 8.986775066616724]",154.24598728487942,197762.4530089338
12,indi_12_699,"[28.52629427985367, 1.3515753568532358, 0.25960483115268806, -2.5657248896637532, 1.3533187770130308, 1.8312217949657326, 2.8250194881945014, 3.4643335765524723, 2.4254702961526924, 4.024044319009574, 3.393476983706173, 3.899920115922536, 5.785333939337358, 5.404435680089892, 4.851646246977654, 6.385573504331137, 8.45298175150751, 4.425064617452403, 8.661978582569022, 8.955730243520021]",153.77622823410172,204053.4116794939
13,indi_13_444,"[30.091517055496983, 1.3609632995835714, 0.2684626303373027, -2.5495794053261567, 1.386154811378348, 1.7884952615135732, 2.8873972405346127, 3.269177693230091, 2.360191118703196, 3.2186829513058077, 3.264521320448641, 3.3551413055043304, 5.509139758481275, 5.350098043439174, 4.646414559991659, 6.140153936690144, 8.415081326045831, 4.356179868726657, 8.640897760648368, 8.32196916901593]",153.35512120194852,214364.97723163717
14,indi_14_238,"[26.953637381043603, 1.3716991859824064, 0.26294240145707887, -2.5639344163902917, 1.3745060012926258, 1.8085530322087984, 2.8778356234985223, 3.3613624646156754, 2.4069785476593055, 3.552284966290258, 3.6771195644942387, 3.5109985569423, 5.065002600235601, 5.3825140716220545, 4.503793173064237, 6.018784571504557, 8.414728940723347, 4.531583669306897, 8.746500638842294, 8.30556841191319]",153.00544968289924,233965.4541810595
15,indi_15_674,"[27.376051295729013, 1.3289263086067389, 0.2661222288836268, -2.552138653888691, 1.3921207301757306, 1.8058972587995057, 2.862171599186045, 3.4271590906907172, 2.3988837916222367, 3.9205849245848166, 3.575064684479344, 3.9053555887357607, 5.305769229446549, 5.732070575301195, 4.917143808373153, 6.139206173756764, 8.449859594829997, 4.430658922503996, 8.786070261832004, 8.377698307004527]",152.57619691158163,204433.59332294733
16,indi_16_809,"[26.673050429936954, 1.3382624761282484, 0.26884351475953494, -2.5591626429907905, 1.3589650251369927, 1.814069804546421, 2.8517271835625255, 3.435422935406016, 2.408504669087245, 3.698459927647357, 3.4370824677376324, 3.792015194581987, 5.331937898566242, 5.4733360649660785, 4.575359759327198, 6.111419055570262, 8.419537038007507, 4.453561095198563, 8.622613373043096, 8.330764423085158]",152.26735891549657,205585.07723775817
17,indi_17_389,"[26.97677968369033, 1.3382776629744866, 0.2685179771953341, -2.5478842635689443, 1.3647523479778112, 1.8213055803564617, 2.875995331102681, 3.4173594647084458, 2.4206665991368563, 3.393134834509103, 3.4348425464236767, 3.7930280558603604, 5.260928148078211, 5.536808801265764, 4.528993911681251, 6.124608440415609, 8.436298491331467, 4.463567595799058, 8.65554570661261, 8.328536990147317]",152.20952772789417,190537.08007577804
18,indi_18_12,"[27.224783808403878, 1.3282704902807392, 0.2667402306948584, -2.5540836150394903, 1.369081995540977, 1.8141159746147373, 2.874996590420528, 3.3789259534182285, 2.4170191083669, 3.3685531712898653, 3.3519388977648705, 3.7387722741486544, 5.397733393266318, 5.363349178621357, 4.307342525762481, 6.147652760153013, 8.428879540171764, 4.466684681948388, 8.565914378865683, 8.332888944460137]",152.08585482541005,228004.00955460255
