generation,best_id,best_genotype,best_fitness,diversity
0,indi_0_335,"[60.670329512342875, 4.056903323788325, 0.07653251973764608, 5.647218246048427, 0.3240833635372141, 1.6996574433371396, 0.472965121847892, 3.965348576255016, 3.9801242117696956, 2.0315223665740687, 2.3324891093295923, 0.8203493012031664, 5.539588461445096, 1.3710802726621802, 8.603452320459251, 2.5147809152483354, 8.369568811413938, 6.4487239754938415, 1.8924176942784474, 15.786255266261035]",1050.4188101402772,8815.627285698956
1,elite_1,"[60.670329512342875, 4.056903323788325, 0.07653251973764608, 5.647218246048427, 0.3240833635372141, 1.6996574433371396, 0.472965121847892, 3.965348576255016, 3.9801242117696956, 2.0315223665740687, 2.3324891093295923, 0.8203493012031664, 5.539588461445096, 1.3710802726621802, 8.603452320459251, 2.5147809152483354, 8.369568811413938, 6.4487239754938415, 1.8924176942784474, 15.786255266261035]",1050.4188101402772,266904.5234436759
2,elite_2,"[60.670329512342875, 4.056903323788325, 0.07653251973764608, 5.647218246048427, 0.3240833635372141, 1.6996574433371396, 0.472965121847892, 3.965348576255016, 3.9801242117696956, 2.0315223665740687, 2.3324891093295923, 0.8203493012031664, 5.539588461445096, 1.3710802726621802, 8.603452320459251, 2.5147809152483354, 8.369568811413938, 6.4487239754938415, 1.8924176942784474, 15.786255266261035]",1050.4188101402772,375807.7419080901
3,elite_3,"[60.670329512342875, 4.056903323788325, 0.07653251973764608, 5.647218246048427, 0.3240833635372141, 1.6996574433371396, 0.472965121847892, 3.965348576255016, 3.9801242117696956, 2.0315223665740687, 2.3324891093295923, 0.8203493012031664, 5.539588461445096, 1.3710802726621802, 8.603452320459251, 2.5147809152483354, 8.369568811413938, 6.4487239754938415, 1.8924176942784474, 15.786255266261035]",1050.4188101402772,468059.42103922967
4,indi_4_337,"[125.68405400245052, 33.538305158769504, -33.46810352772896, -3.300180182640733, -13.664823379764512, 34.87429642362392, 1.5802399199920274, 45.190400804667505, 226.78126882386653, 21.88700653052649, 145.99458632372514, 36.248007766144, 16.947268791692064, 60.102189229443965, 54.21652839672389, -20.967101252655965, -76.64319519685351, 295.84161499942746, 35.598759729481976, 4.707952840633645]",860.6698834417709,488125.8094615611
5,indi_5_523,"[141.6681599068608, 13.195321711637527, -74.4380575789792, -14.109132222821753, 58.02379924908175, 29.664982216113955, -27.90796968229623, -4.7003851617663015, 69.1117695646093, 29.789915538621017, 1.7067370637548402, 14.324278777903622, 6.265331683530637, 40.06979540427748, 55.252425339642684, -47.739367257808695, 8.510893274545332, -4.124219191765163, 20.510161372169804, -7.204600725261354]",780.338821058301,475183.9741803387
6,indi_6_409,"[137.58830483783728, -33.3065552021564, -40.69940540079583, -0.5534510387115343, -52.30935575974152, -61.038736179260596, -48.71609437047776, -325.1814855874325, 219.2305275759661, -11.904212941900115, 91.98206557510943, 8.83997981852555, 0.6204495937661837, 4.8839105873549675, -32.00804055249723, -112.62581022881487, 94.66658472382274, -64.90963109523668, 53.85268757078698, -37.01484884638395]",518.5626574337084,464754.2107817736
7,indi_7_326,"[114.71911995465588, -12.401585172516883, -7.51812428800628, 2.0853133457067896, 20.46075602288024, 27.780327483565408, 24.47546888039093, -13.568118841464841, 18.148319996281582, 19.038286971215477, 18.06635603179992, 16.488171504295195, -3.8570818739081227, 5.048810202760405, 52.275545817808776, -17.180765092076584, 25.925685889407415, -222.06871548773694, 30.94250040656204, -20.608371483559797]",226.89037910496933,436640.39422005456
8,indi_8_51,"[71.5803457015059, -6.258144975959401, 45.28333703818447, 2.1038152488049917, -20.139213444240045, -10.363230165783587, 60.71049137292687, -16.630106270276066, -13.000331106971515, 36.4927696888052, 73.61012891579152, -49.06697474631797, 34.40562398490915, 50.7181873110412, 21.29520560111166, -58.33590756348029, 7.142142462934684, 7.336165480749674, -15.294780712899957, -37.173463227560426]",130.42334324762686,405971.08747758006
9,elite_9,"[71.5803457015059, -6.258144975959401, 45.28333703818447, 2.1038152488049917, -20.139213444240045, -10.363230165783587, 60.71049137292687, -16.630106270276066, -13.000331106971515, 36.4927696888052, 73.61012891579152, -49.06697474631797, 34.40562398490915, 50.7181873110412, 21.29520560111166, -58.33590756348029, 7.142142462934684, 7.336165480749674, -15.294780712899957, -37.173463227560426]",130.42334324762686,404940.1403708253
10,indi_10_258,"[108.78692982555737, 2.1926628533918535, -30.55545719145659, 0.10344455000047947, 20.276130885225772, -61.908817477404064, 44.10184010398573, 54.18147424873227, -26.095986213467086, -26.09540043488388, 0.5157073353994557, 10.650609985311677, -1.680171145525195, 129.28450463391601, -132.7796586578958, -55.87186024244426, -12.75776796049146, 3.541272842460377, 46.28992580319907, 0.6450706703006635]",62.804943780135254,403074.3758917226
11,elite_11,"[108.78692982555737, 2.1926628533918535, -30.55545719145659, 0.10344455000047947, 20.276130885225772, -61.908817477404064, 44.10184010398573, 54.18147424873227, -26.095986213467086, -26.09540043488388, 0.5157073353994557, 10.650609985311677, -1.680171145525195, 129.28450463391601, -132.7796586578958, -55.87186024244426, -12.75776796049146, 3.541272842460377, 46.28992580319907, 0.6450706703006635]",62.804943780135254,405852.7218560087
12,elite_12,"[108.78692982555737, 2.1926628533918535, -30.55545719145659, 0.10344455000047947, 20.276130885225772, -61.908817477404064, 44.10184010398573, 54.18147424873227, -26.095986213467086, -26.09540043488388, 0.5157073353994557, 10.650609985311677, -1.680171145525195, 129.28450463391601, -132.7796586578958, -55.87186024244426, -12.75776796049146, 3.541272842460377, 46.28992580319907, 0.6450706703006635]",62.804943780135254,416203.72479077626
13,indi_13_456,"[119.081335514014, -1.7295624405950694, 20.259733971365105, 0.7296450975235276, -16.118778911720074, -21.021124738902884, 70.02176097152838, -19.584521658536957, 8.816051833808732, 26.95350032232944, -28.161539490089744, 8.221611426844294, 36.32202434468318, -16.981125206189436, -20.157757258234174, -23.9711029114906, -0.9434598679083173, 0.33382119523551923, 4.96416136640754, 18.439126737461677]",55.11294241225168,364609.7069263902
14,indi_14_171,"[87.18784888343637, 0.22585627709117495, 8.366784836759074, -0.1129798278267855, 4.84524031836268, -2.7481880265963197, 2.4339837428160527, -25.46743814703993, 30.43204566577398, 5.125774268927593, 71.16391771409899, 6.0389739928786765, 4.356753777638502, 5.517945723540683, -1.0739925332039044, -44.283588036225645, -4.680660504052349, 2.448343225514111, -4.4708680340995555, -21.1019464411359]",40.581726383688896,363669.39058802044
15,indi_15_272,"[91.74863288210064, 0.8303539928160933, 3.9158204744993625, -0.11412231986624104, 4.616396906942139, -16.829042254664397, 14.926923359486292, -18.0139347332687, -18.890628645638866, 2.2283476636812685, 33.397062334746764, 5.8517906203146515, 30.542034530937418, 16.578490142406075, -59.05618994670798, -33.43068083945124, -5.158192347189822, -1.0833416587425182, -5.058368683049831, 26.39612101006737]",31.649719491901422,399259.8141599501
16,elite_16,"[91.74863288210064, 0.8303539928160933, 3.9158204744993625, -0.11412231986624104, 4.616396906942139, -16.829042254664397, 14.926923359486292, -18.0139347332687, -18.890628645638866, 2.2283476636812685, 33.397062334746764, 5.8517906203146515, 30.542034530937418, 16.578490142406075, -59.05618994670798, -33.43068083945124, -5.158192347189822, -1.0833416587425182, -5.058368683049831, 26.39612101006737]",31.649719491901422,412597.81864407856
17,elite_17,"[91.74863288210064, 0.8303539928160933, 3.9158204744993625, -0.11412231986624104, 4.616396906942139, -16.829042254664397, 14.926923359486292, -18.0139347332687, -18.890628645638866, 2.2283476636812685, 33.397062334746764, 5.8517906203146515, 30.542034530937418, 16.578490142406075, -59.05618994670798, -33.43068083945124, -5.158192347189822, -1.0833416587425182, -5.058368683049831, 26.39612101006737]",31.649719491901422,412062.2649292988
18,elite_18,"[91.74863288210064, 0.8303539928160933, 3.9158204744993625, -0.11412231986624104, 4.616396906942139, -16.829042254664397, 14.926923359486292, -18.0139347332687, -18.890628645638866, 2.2283476636812685, 33.397062334746764, 5.8517906203146515, 30.542034530937418, 16.578490142406075, -59.05618994670798, -33.43068083945124, -5.158192347189822, -1.0833416587425182, -5.058368683049831, 26.39612101006737]",31.649719491901422,417562.5362682268
19,elite_19,"[91.74863288210064, 0.8303539928160933, 3.9158204744993625, -0.11412231986624104, 4.616396906942139, -16.829042254664397, 14.926923359486292, -18.0139347332687, -18.890628645638866, 2.2283476636812685, 33.397062334746764, 5.8517906203146515, 30.542034530937418, 16.578490142406075, -59.05618994670798, -33.43068083945124, -5.158192347189822, -1.0833416587425182, -5.058368683049831, 26.39612101006737]",31.649719491901422,408322.43589616544
20,elite_20,"[91.74863288210064, 0.8303539928160933, 3.9158204744993625, -0.11412231986624104, 4.616396906942139, -16.829042254664397, 14.926923359486292, -18.0139347332687, -18.890628645638866, 2.2283476636812685, 33.397062334746764, 5.8517906203146515, 30.542034530937418, 16.578490142406075, -59.05618994670798, -33.43068083945124, -5.158192347189822, -1.0833416587425182, -5.058368683049831, 26.39612101006737]",31.649719491901422,351650.0057815995
21,elite_21,"[91.74863288210064, 0.8303539928160933, 3.9158204744993625, -0.11412231986624104, 4.616396906942139, -16.829042254664397, 14.926923359486292, -18.0139347332687, -18.890628645638866, 2.2283476636812685, 33.397062334746764, 5.8517906203146515, 30.542034530937418, 16.578490142406075, -59.05618994670798, -33.43068083945124, -5.158192347189822, -1.0833416587425182, -5.058368683049831, 26.39612101006737]",31.649719491901422,366409.44946909696
22,elite_22,"[91.74863288210064, 0.8303539928160933, 3.9158204744993625, -0.11412231986624104, 4.616396906942139, -16.829042254664397, 14.926923359486292, -18.0139347332687, -18.890628645638866, 2.2283476636812685, 33.397062334746764, 5.8517906203146515, 30.542034530937418, 16.578490142406075, -59.05618994670798, -33.43068083945124, -5.158192347189822, -1.0833416587425182, -5.058368683049831, 26.39612101006737]",31.649719491901422,358717.1448414231
23,elite_23,"[91.74863288210064, 0.8303539928160933, 3.9158204744993625, -0.11412231986624104, 4.616396906942139, -16.829042254664397, 14.926923359486292, -18.0139347332687, -18.890628645638866, 2.2283476636812685, 33.397062334746764, 5.8517906203146515, 30.542034530937418, 16.578490142406075, -59.05618994670798, -33.43068083945124, -5.158192347189822, -1.0833416587425182, -5.058368683049831, 26.39612101006737]",31.649719491901422,367564.18079529196
24,indi_24_415,"[79.51471134164292, -0.3210209428019648, 16.272554190067687, -0.10256722008241931, -3.8025830589713148, -11.590807352852629, 17.25115634661466, -33.655587949210016, 19.338831056141338, 2.2244636726279743, 4.99226740739666, 9.661973458355902, 22.248217704664818, 12.937302388330393, -21.916425223965884, -13.226336275375935, -1.7732293552052911, -4.115316761095159, 25.79548297461701, -7.92194846305965]",22.579640978258173,414063.9626212571
25,elite_25,"[79.51471134164292, -0.3210209428019648, 16.272554190067687, -0.10256722008241931, -3.8025830589713148, -11.590807352852629, 17.25115634661466, -33.655587949210016, 19.338831056141338, 2.2244636726279743, 4.99226740739666, 9.661973458355902, 22.248217704664818, 12.937302388330393, -21.916425223965884, -13.226336275375935, -1.7732293552052911, -4.115316761095159, 25.79548297461701, -7.92194846305965]",22.579640978258173,428456.0869269718
