generation,best_id,best_genotype,best_fitness,diversity
0,indi_0_88,"[47.21480251487838, 10.527663586191633, 0.1522532571653682, -1.1021743451323078, 2.8394048946856265, 2.7768966111656113, 2.9825365636303576, 3.2289635138322117, 3.6056069025078243, 0.589540152352273, 8.30800831470485, 2.6552993650945154, 5.780982004020259, 4.832017233414193, 11.986719254582813, 9.04182811132186, 27.484763688962115, 3.3064844126877087, 5.120058727415204, 13.537134841110959]",1213.0022434897933,8521.166351953278
1,elite_1,"[47.21480251487838, 10.527663586191633, 0.1522532571653682, -1.1021743451323078, 2.8394048946856265, 2.7768966111656113, 2.9825365636303576, 3.2289635138322117, 3.6056069025078243, 0.589540152352273, 8.30800831470485, 2.6552993650945154, 5.780982004020259, 4.832017233414193, 11.986719254582813, 9.04182811132186, 27.484763688962115, 3.3064844126877087, 5.120058727415204, 13.537134841110959]",1213.0022434897933,674968.4408045694
2,indi_2_55,"[74.58841112635875, 6.562659458940212, 0.23398064669229407, 0.5923397280240136, 2.6170220604738326, 2.2138418512442417, 2.7389441169570166, 3.500370720189788, 4.377595094716851, 1.0518280508139903, 4.260222459592028, 2.7194033159905517, 5.675202688600754, 5.348009942401792, 11.424098496388613, 9.646782213159474, 25.750863945842667, 3.719866831321043, 6.0650373893044005, 13.366668542666897]",1099.7197012357483,605567.4487170699
3,indi_3_206,"[51.6762603846033, 7.652097272700119, 0.19561009383793312, -0.9376476465495271, 2.739028134777338, 2.5522470208156975, 2.907152125613854, 3.495330286542488, 3.991967977060796, 0.9975179595404141, 4.820590165071314, 2.6699107950182586, 5.732036673673903, 4.919316065328324, 11.67350114864752, 9.34662122640701, 26.98916626597607, 3.5363375290037697, 5.612022545011598, 13.518611491433289]",1034.8009867902952,593006.2675200849
4,indi_4_123,"[71.60076460895961, 6.819186031990304, 0.23354592283112266, -0.1915858867960731, 2.7569340445222594, 2.7965714802337773, 2.787220776833639, 3.370336908251237, 4.570551709468866, 0.854029828869393, 5.830202392847715, 2.674911958308974, 5.568757306017164, 5.733424961342416, 11.608554993784233, 8.796685836294207, 23.486431233013715, 3.573770295442695, 3.716662283062661, 13.421818143505378]",990.4829156659969,642174.6240689394
5,indi_5_55,"[65.65102889713296, 5.96512860019643, 0.30337006107993514, -0.934175597610601, 2.5940963846499168, 2.5401935969103384, 2.8951992885655606, 3.652060972215618, 4.031179787600422, 1.3415408570562812, 4.772729835291547, 2.6544746868018203, 5.6743650168549955, 5.495644472525334, 11.355461112256332, 9.430217101929177, 25.87063327878822, 3.6665088017747802, 5.764111908708925, 13.280089500711266]",915.9892659323986,631670.4158341301
6,indi_6_48,"[67.83854943423161, 6.07545011756161, 0.24847480395176272, -0.758518166959442, 2.6305516261972364, 2.6884294303226737, 2.8717322021876726, 3.512636822652013, 4.438395594993994, 0.8675845387019172, 5.187387516491136, 2.6637426111337748, 5.673006470147042, 5.525637089892701, 11.574511346942165, 8.809381135390595, 23.640675784185618, 3.577556323906889, 4.200107327505915, 13.404397489347026]",891.158001176001,676045.7750136622
7,indi_7_27,"[67.21050594494633, 6.0434734365324765, 0.26638871257776253, -0.9202441663495594, 2.629698221032593, 2.6399897272828508, 2.8799363955977673, 3.5735254166488595, 4.065232217578228, 0.9420589379991715, 4.883276408745281, 2.6619495040335543, 5.6731391034719545, 5.518427413064469, 11.402514788597088, 9.19471553665129, 24.098320851669133, 3.579991558856811, 5.697283458514249, 13.386631322277164]",885.0697855539323,632823.0779407253
8,indi_8_29,"[63.42132354353117, 5.987582611463168, 0.2778952278296537, -0.9050202165472432, 2.626144989476797, 2.57549510145971, 2.8919258840081987, 3.5496012118647315, 4.107087790788334, 1.0468424116818555, 5.077024548360331, 2.6589044148757335, 5.317088152605752, 5.510472938064564, 11.399605465693991, 9.38569386696708, 24.31516421346378, 3.6206131502522148, 5.236383591345027, 13.343341102314177]",883.548287601371,761379.0339619141
9,indi_9_71,"[64.3995529258116, 6.067413853505198, 0.2765767854766629, -0.9129792960717197, 2.634001872768367, 2.6770578463560977, 2.877288555338221, 3.4977739343472396, 4.183992365177507, 0.9815677732147076, 4.9083218475995425, 2.6635746214767835, 5.657828688948663, 5.554686760506942, 11.466426545710792, 9.120368567899115, 23.838010595431545, 3.602881704682115, 5.03249014916458, 13.338800426709836]",878.348237332526,584425.4343382674
