generation,best_id,best_genotype,best_fitness,diversity
0,indi_0_668,"[28.12621348419183, 11.323259871189164, 0.701473902096672, -1.8026735623320738, 0.18123216634661982, 3.152349607293926, 0.5642952637798679, 3.9956809699883307, 4.099755920162501, 0.07680678224467462, 7.929681803153337, 1.3731118114487655, 10.128319336484125, 10.327634680355143, 10.417652163612328, 2.6423766705320606, 17.048691882299064, 7.798348976615673, 2.1520875936899024, 7.00457650854003]",956.7820498587976,8665.581779490725
1,indi_1_47,"[56.21572080291336, 11.347532223934246, 0.1881227019217393, -4.049344291503619, 1.5524953878393903, 2.6398693926715273, 2.56927768323361, 1.4897173274221054, 3.0120596974515235, 5.032648745853125, 4.8071659511519105, 6.351089959143993, 7.207182253630027, 2.537007838921464, 4.761650370058279, 11.995742644248907, 10.531772061117888, 11.99335700712354, 5.419574087184922, 14.031030132447945]",676.1136522162742,210462.0434112439
2,indi_2_360,"[47.83510039605366, 5.387578815154872, 0.5959602376607191, 0.34277567895157524, 0.5102994966817785, 1.6773525554321216, 1.1295996319418993, 2.371509073525049, 3.8705148586292433, 3.0798352078725646, 1.8814535482667596, 1.4147146963080102, 5.86009416642694, 1.9447528953187154, 9.441655369562426, 4.4403971636503154, 9.763048038231016, 10.117451121080048, 4.10077255251446, 11.809831961187623]",626.2582097745375,206727.26621511826
3,indi_3_766,"[54.66037187720801, 4.895746011795112, 0.2091065175050661, -2.5394720655868284, 1.6277487915504985, 1.8244731016900269, 1.6162798572083938, 1.9074170439593168, 3.7773118431206245, 1.9282519724399008, 2.606834926812955, 3.3022605777422807, 5.554932023756622, 1.278598677615725, 6.546008722313523, 4.632305538296586, 9.96165242424663, 11.404992907749829, 8.73755712471224, 13.937537973890585]",372.42682905140555,209092.79685907922
4,indi_4_108,"[47.34817804251899, 5.004512559860514, 0.1950568662065223, -3.0884759440888416, 1.283712602285783, 2.6279185729522294, 1.8592417151721734, 2.5711588457361785, 3.5498430808887136, 4.790704265386774, 4.858044409854877, 3.8676263547107657, 6.79377711923537, 2.2814004313515985, 5.27675006442645, 9.630678122762323, 10.20737503446948, 10.228529460159134, 6.021382617468912, 13.675333526743326]",343.4959662009074,225214.87755100915
5,indi_5_192,"[54.03410751635757, 5.245358349354555, 0.26469488923590867, -3.7064471035644884, 1.570234440993945, 1.867267760229452, 1.2097037904805035, 1.848917483390239, 3.7260607685774603, 2.5444683556524033, 2.9699613957336366, 3.4253769136481136, 5.485163890249541, 1.3838534483730802, 7.720555827927166, 4.722586640256455, 10.514074455246671, 7.073288556870295, 8.486128873393067, 13.932158777937795]",337.025280239375,240482.4390326827
6,indi_6_741,"[48.09301109194098, 5.0282564352023815, 0.23135636492366907, -3.6866241581491734, 1.3415733861587587, 2.587379393595662, 2.3457980201052693, 2.409797790634746, 3.5308052864589605, 4.301855832603742, 4.65282356413281, 4.2875997700217185, 6.613821120168773, 2.7103593293559287, 5.299452269424188, 6.967420666147223, 10.165469047683011, 9.965230478755196, 6.015239715602564, 13.737623791249497]",317.10850075237994,213397.97781923963
7,indi_7_432,"[51.30221116142494, 4.428163417467984, 0.21224613762856143, -3.5015824406384413, 1.4019480311096955, 2.0745493810997098, 1.5347988359298768, 1.9680261158388974, 3.531555026942931, 2.7033117393720834, 3.6078434874581964, 3.5627798077762782, 5.489624640770227, 2.0915094599061814, 7.0468027223739895, 5.370253032807764, 10.187093461487672, 8.980750914578104, 7.690033952674605, 13.652014797992171]",296.79862502031125,210089.82707888508
8,indi_8_448,"[50.08956354440345, 4.433892768223837, 0.2430168915318206, -3.5375571720485492, 1.480933278641295, 2.16719590644591, 1.5543866380211746, 1.9807911223851242, 2.9961235786961113, 2.8264895999962265, 3.8594049687221057, 3.5665002024698684, 5.491271527381724, 4.140533239338872, 6.9789676604825495, 5.511361146253691, 10.188402346579014, 10.385583730989646, 7.5895945664471895, 13.643186863856979]",295.8888518616969,210703.12743285412
9,indi_9_375,"[51.72515552585848, 4.478100352288408, 0.23589104981566383, -3.750123099131695, 1.3588690117626387, 2.1468445229484994, 1.52314926322035, 2.0530555716167767, 3.6661909792251084, 2.819661592980737, 3.9587416302599383, 3.6453970927258097, 5.757745203127987, 1.9980658414607873, 7.252493573364743, 6.021874802156156, 10.241540823537454, 8.190744970349563, 7.7163218696556894, 13.747037428186948]",292.4158146845904,221744.5302979157
