generation,best_id,best_genotype,best_fitness,diversity
0,indi_0_464,"[7.118138992431156, 46.20928238684547, 0.11951231906303295, -3.193162295706485, 0.08031221196275318, 0.00022093480999438092, 0.004907139449086332, 0.012684338692604696, 0.061353066863262244, 0.02134727745396546, 1.3860514346294086, 0.06923732879987043, 0.14473031084964, 0.07467230767394659, 0.24432754149431984, 0.18125605212244542, 5.729279829877335, 0.7816643929231096, 0.6189297220486727, 0.1873456001180716]",2832.1575364561695,8414.60942908703
1,indi_1_541,"[-14.913120874134059, 36.99905141224551, -73.80531178748394, 8.499305814434432, -185.37658783779065, 283.50296010189675, -54.56322462364182, 373.0442959993795, -134.16440228836686, -21.81509261878898, -344.1724806087763, 119.74405297224271, -75.49206818341368, 67.19936020525917, -23.239603717851335, 335.2381127876852, -154.20691210634786, 376.6203067035492, 210.29745045768672, 390.7287801082492]",1183.6808539769427,198196.05946711294
2,indi_2_129,"[130.87334071818148, -13.501573537669913, 33.348739587252396, -1.6957382338754303, 33.07909962671273, 69.50925040722503, -88.61411017526163, 15.378540713588334, 36.29241276243827, -104.29305654068554, -28.592348212897676, 3.6691599010909806, 21.849335675911615, 214.88174675066307, -208.87643104882, 88.05124818805342, 44.926374546026416, -14.394848833037123, -110.32263527278167, -12.746154873068312]",267.5746019858506,276100.1318539303
3,indi_3_434,"[51.03233739511976, -6.545918003596363, 169.0129788266826, 0.1386339074807037, 7.55426856550838, 0.543994852903604, -35.86397313615197, 44.209101022235956, 8.003224437078657, -35.95748889333746, -42.331451791657045, 4.927533806756104, 19.919477653922936, 37.48657990439017, -180.51892488657967, 18.22143273120581, 17.425929999201344, -7.9834548286267655, -1.1586294253767897, -7.141425355781655]",155.33436236473827,341761.4224586151
4,indi_4_10,"[196.8524151778174, 0.052969318309187975, 9.979555461789058, -0.7307418528811493, 16.56373424609358, 2.4918534035831965, -128.67440273803237, 18.875930659874648, 0.7681549231556932, -17.485376368750156, -167.75491722818458, 22.40301946853762, 92.06569236435986, 27.525781578271012, -14.037954637196107, 29.304148136884933, -2.702479823713281, 68.70114010329014, -33.44095056092186, 5.456490494132319]",54.72451072060351,339613.91278787557
5,indi_5_525,"[145.45566818743288, -0.08925029388177554, -4.911487254528538, 0.2371810983923554, 33.16529638617089, 17.98205314827654, -111.9495158142391, -34.44542830365202, 15.554870881274198, -100.52556399725917, -88.8904696988107, 2.315349357712052, 99.46510159978644, 200.62450264788473, -134.4375273610278, 36.37865154880087, -3.77201499948717, 23.544835163441785, -7.208520896485789, -2.056872381679018]",39.39184484129349,285721.60170638066
6,indi_6_555,"[184.18241095400217, -0.07151575019035578, -2.6527962994133736, 0.21013356226589136, 42.20431775802953, 29.454452178490286, -106.94292976549616, 2.6759720025487574, 4.4926141867985345, -87.47268294634122, -99.06077873892772, 2.091071341171403, 73.961775087424, 181.19015437766075, -146.85553728109977, 30.439858414560618, -6.209094499987015, 19.854532050776058, -37.79440213994629, 42.74359728696252]",23.655215854836523,203163.4761760066
7,indi_7_570,"[170.42554084533222, -0.05519240141291256, -2.3108783516177187, 0.033178114318709456, 41.41821957923852, 16.64143155744211, -112.81390348320075, 4.851282244127719, 3.5197804223792915, -39.7797946451151, -106.42297447549171, 2.9516281355403584, 75.37141374674515, 114.25944984410688, -123.03007489894185, 33.92200590342462, -5.154283190596794, 20.170373360101976, -19.424396386744345, 26.346983161163685]",18.448569302457873,192016.34806794973
8,elite_8,"[170.42554084533222, -0.05519240141291256, -2.3108783516177187, 0.033178114318709456, 41.41821957923852, 16.64143155744211, -112.81390348320075, 4.851282244127719, 3.5197804223792915, -39.7797946451151, -106.42297447549171, 2.9516281355403584, 75.37141374674515, 114.25944984410688, -123.03007489894185, 33.92200590342462, -5.154283190596794, 20.170373360101976, -19.424396386744345, 26.346983161163685]",18.448569302457873,230345.2225745904
9,indi_9_591,"[116.84297049659935, 0.3161763792189528, 9.50981623935738, -0.016239795574289395, 27.690916387065943, 40.761748488091385, -102.17617384216058, 31.3853832670267, -3.6754304224476724, -156.94307116711272, -68.62475706644426, 5.090854300129767, 80.66680772549583, 87.36224590136003, -76.35312392239004, 70.42987245337574, -3.8202255608681828, 46.01583422320625, -43.84529585696439, 2.7539014191110063]",15.694925407799566,199196.572288103
