generation,best_id,best_genotype,best_fitness,diversity
0,indi_0_43,"[84.26234248107437, 41.948677087955915, 0.47351669277151875, -4.047653419417626, 0.01837345729107236, 0.00036880949089021124, 0.0216427419666701, 0.022143719588043086, 0.029100919246018247, 0.025968809299547355, 1.1238088858376793, 0.04373222590538143, 0.10637034891203191, 0.0875035845916143, 0.05760041556837884, 0.41556110344015096, 27.72431813288694, 0.40626380268495427, 0.6027049710705785, 0.4763130721780791]",3025.954900507968,8290.761104466947
1,indi_1_588,"[87.63199926637412, 87.50030677947065, 292.9473337535511, -4.444038761034332, 188.14634159783884, -355.89766399289425, -384.7984017328093, 338.47202920103166, -164.09357309623462, 153.49224545184626, 77.23912945291833, -365.4473487393476, 148.3558387064737, 306.68926502766175, 65.16959231348686, 200.51913353500206, -244.56582374877547, 324.2537456000909, -201.73281805541458, 297.2518848900191]",1506.5666708646208,174611.7655949768
2,indi_2_195,"[218.26029215524864, -28.87004133519829, 27.884052011449374, 3.9296275288155, 321.03679361458944, -61.309272038295795, -36.17316649431326, -318.5138746647659, 61.73421405028788, -31.087560060965863, -30.18000683375243, 100.88201865557623, -285.28294919111204, -166.1516066103881, 153.31500712101, -55.8770521402496, 40.95289452969374, -10.473785526399077, 228.40203288239704, 82.58153752374386]",475.18482166688045,301355.873604621
3,indi_3_505,"[109.4231001782797, -8.47957803754673, 27.501136987424434, -2.6782831429553395, 46.66289682250217, -23.40574080765936, -13.540841124438222, -62.99444066633539, 11.101746983311576, -52.66216730917909, -105.1090163738862, 117.3757985308358, -33.64225782013381, -84.85046760659768, 159.27995363163149, -66.4913325285472, 24.06679913150586, -151.88330267873746, 48.048253227256524, 23.49866180509753]",344.8607072129658,455642.11706922675
4,indi_4_2,"[158.90045852015405, 2.060586104460391, 130.0822491507273, 0.15335626149375292, 80.60575347394217, -90.94239669342986, -40.843369272901086, -79.16064049840344, 7.097798314926363, -44.1418335512665, 9.455170296599274, 26.155570273723374, -75.56090697798003, -48.6591038166503, 58.52968381880255, -55.31725267986374, -7.000620887830671, -109.72891119398673, 4.1137417924472155, 59.45877288880331]",183.87844179374062,353633.8944980045
5,indi_5_111,"[158.34156861938914, -5.722579483936083, 122.91164449629564, 0.11992020776997706, 108.66766756942204, -81.52960665561173, -43.701728929986864, -80.91339586187819, 8.151463058024616, -36.425442370043456, 7.813668569220441, -19.728623296759853, -162.5216332980255, -60.67320233012184, 68.35819051662565, -58.47706758958682, 8.145120157055933, 24.711230622041967, 13.515333280400684, 55.91112703407987]",109.42806031281576,270992.8244601217
6,indi_6_257,"[191.78872385821288, -2.15777315406464, 59.22721850242878, -0.8147468381396923, 231.95013786609047, -63.32078571808932, -34.89192593230319, -262.52177986075156, 100.92972171882391, -8.185538739738593, 12.611424627103613, 65.2247982907091, -208.54780469611427, -149.8453288480162, 69.77707946949855, -52.38806486177436, -3.435328125249567, -77.47952173901035, 184.21119206312633, 102.55855662443452]",63.662591833709996,251847.45861465158
7,indi_7_161,"[160.19473462985388, -0.37620632502000384, 84.96912684088409, -0.4784412113054764, 271.1302166675333, -26.56841165188539, -36.71037804472535, -159.72559031903745, 56.09811099313695, -8.275602790283518, -41.52573876444907, 33.61141767200836, -100.11898746378866, -86.73216105522349, 76.60210040703257, -22.56041929875318, -3.9795926375919954, -64.54799168178215, 58.2223853052343, 63.88831230704262]",54.06204170984055,242198.23288723818
8,indi_8_646,"[156.00073243133886, -1.689525221963025, 56.82136075624123, -0.21656776901154878, 166.85859776220207, -47.771878503107935, -33.59075953619326, -124.41311268152643, 63.52877285020292, -43.0268335284374, -1.0588386777814867, 62.22188292826402, -98.69273386226293, -104.7982556196958, 66.9722079680416, -12.164863159799825, -2.952008037973915, -69.84152107572373, 142.4880759836712, 23.407215351899968]",44.915162136086984,217240.43506759786
9,indi_9_225,"[162.42148551855198, -2.343249656695516, 57.887356318043, -0.15783533063095265, 215.02715896135064, -49.70717723644935, -29.45982693179722, -69.1900736840075, 59.18639246429706, -38.73708985395229, -3.0392651903521486, 35.925522634701814, -99.08366436853882, -96.16241178082859, 25.737147337528462, -37.81157881872818, -2.537437711236083, -32.86959437868005, 122.87768946627398, 22.328774955546155]",42.33217115741607,220263.83247875868
