generation,best_id,best_genotype,best_fitness,diversity
0,indi_0_322,"[182.95800701458342, 37.92859517253096, 0.2089607226207557, -2.4137724684445967, 0.07932844031068848, 0.0002827831757044729, 0.019597663161550975, 0.03470199997785591, 0.04889313672989753, 0.09083484931238639, 1.2695824407949745, 0.08687369923760765, 0.02252542322564877, 0.013409175109546138, 0.23596128731008506, 0.42805513449521226, 7.833452139000672, 0.3011452676793518, 0.5922139643643575, 0.5791796350204391]",2579.7903326332184,8937.069819419181
1,elite_1,"[182.95800701458342, 37.92859517253096, 0.2089607226207557, -2.4137724684445967, 0.07932844031068848, 0.0002827831757044729, 0.019597663161550975, 0.03470199997785591, 0.04889313672989753, 0.09083484931238639, 1.2695824407949745, 0.08687369923760765, 0.02252542322564877, 0.013409175109546138, 0.23596128731008506, 0.42805513449521226, 7.833452139000672, 0.3011452676793518, 0.5922139643643575, 0.5791796350204391]",2579.7903326332184,221455.97006172754
2,indi_2_96,"[161.06438246873398, 6.16869948883091, 64.16122741502662, 7.041730836864608, -126.80569330557469, 42.74257139068414, -300.66155167844676, 27.90387812497302, 9.967298735717327, -20.240383403056814, -133.6462819402994, 7.794264455170607, -57.96234729575963, -89.0917404784875, 206.62047226663498, 209.9419757466233, 1.474675258084245, 14.683338532346305, 10.909654055814874, -74.63675266212708]",1259.5157299364885,169490.50106779175
3,indi_3_193,"[169.05463789731863, 7.746171073567538, 0.28325218423059095, -1.678070796335124, -18.670747012753484, 124.67335524740919, -105.99423065007137, 26.894271341913285, 11.222690069975425, -23.982735073129604, -128.15541756079125, 6.671333661622166, -200.14472942711197, -96.47081217333897, 10.797900096874542, 99.94337819361688, -10.405237424745781, 33.84632241119176, 103.89193898572852, -0.30925164938200145]",326.39022179636066,215749.06307905645
4,elite_4,"[169.05463789731863, 7.746171073567538, 0.28325218423059095, -1.678070796335124, -18.670747012753484, 124.67335524740919, -105.99423065007137, 26.894271341913285, 11.222690069975425, -23.982735073129604, -128.15541756079125, 6.671333661622166, -200.14472942711197, -96.47081217333897, 10.797900096874542, 99.94337819361688, -10.405237424745781, 33.84632241119176, 103.89193898572852, -0.30925164938200145]",326.39022179636066,204494.4893613813
5,elite_5,"[169.05463789731863, 7.746171073567538, 0.28325218423059095, -1.678070796335124, -18.670747012753484, 124.67335524740919, -105.99423065007137, 26.894271341913285, 11.222690069975425, -23.982735073129604, -128.15541756079125, 6.671333661622166, -200.14472942711197, -96.47081217333897, 10.797900096874542, 99.94337819361688, -10.405237424745781, 33.84632241119176, 103.89193898572852, -0.30925164938200145]",326.39022179636066,246915.201959186
6,indi_6_238,"[171.89855943911618, 4.869583806421127, 3.6982700974931806, -1.27897693372706, -49.0766333399348, 123.67638323480747, -81.1331291079733, 31.199027386102976, 10.339307921970015, -20.432297349832282, -112.33826545779618, 6.686712305225187, -143.40213595996602, -53.00414515907595, 23.81715017090614, 92.76332658549684, -8.71825951976636, 23.679804943607497, 60.57845548056802, -4.667902213406648]",187.71093577527083,230955.2517773588
7,indi_7_31,"[169.83232032718098, 5.1249407468109025, 2.664250665694819, -1.5539141263633103, -43.73087873334034, 121.96049243299693, -108.59418655076568, 28.777187341197646, 10.4792312966657, -21.37923539768074, -120.30735695194147, 6.833279070319777, -149.74751213597605, -83.19603864596142, 24.687923626432685, 97.96848429900486, -9.219271604063495, 25.25382970934047, 63.089187033506725, -12.718663721970254]",176.6056806225581,197012.23668053598
8,indi_8_25,"[167.46634405691466, 4.975261788736491, 1.0903707934976086, -1.6235688038595635, -36.627454328032975, 123.12958747082266, -100.43435051389832, 28.389287040350244, 19.198107326590197, -22.98891002054795, -141.72267234173597, 6.629601255177044, -157.41960681051694, -83.66255866590544, 37.57766742387247, 96.608118831279, -10.009964754049262, 33.598339538913095, 91.86378938733299, -5.550183716131519]",161.30282924386682,179094.50479132362
9,indi_9_594,"[162.91905646908765, 4.9534072202212505, 11.228482768565199, -1.366030758188746, -45.41895305206502, 117.87949862221062, -97.07931388319842, 29.4926721074233, 11.773305979196033, -22.59501984418415, -128.90076827281626, 7.397888664642279, -200.4908257074878, -90.88796279613511, 56.19411433738605, 116.56577626820882, -9.940927384313063, 25.783768722389638, 41.562169261665986, -6.095855871862685]",152.9704537783965,206346.95435041125
