generation,best_id,best_genotype,best_fitness,diversity
0,indi_0_148,"[70.43178189203594, 40.00627593600887, 0.32907439805588257, -4.048136916312517, 0.02146834152097834, 0.00016776230579434756, 0.029036543511599268, 0.05658808412364129, 0.008853366456796796, 0.14529393693766834, 0.2004717179412869, 0.009688819547909287, 0.1476294842834668, 0.004491079621275699, 0.13838614269379357, 0.2114223247455056, 8.07070928431595, 0.4351842611103114, 0.7063233762879919, 0.4068410364133082]",2465.4431382142,8427.491187376118
1,indi_1_77,"[104.85314665444653, 38.12683171299393, 0.45145239992301045, -3.8756825267126738, 0.012158136705220942, 0.0001429945640698254, 0.018409062547961416, 0.030564552790261195, 0.016612660394492523, 0.1445331159252119, 1.0538115194148538, 0.006823787173326765, 0.13274922607478226, 0.06131878554526319, 0.15242191702130814, 0.24191101985183644, 9.482611382939247, 0.43334617125147973, 0.7229490013504605, 0.4042475265548221]",2422.4348726682583,190411.2148281429
2,indi_2_611,"[111.748081460738, 43.922828205305144, 45.098582797801576, 12.324164636558914, 0.3957061600873295, 86.85431888173765, -101.18599321751817, 211.83811759470018, 12.225968814713609, -19.981583328029952, 211.44688525619063, 225.26221478949395, -151.97399089615288, 68.77832053204959, -98.99416423179824, -14.876341573268569, -158.25650843013702, -4.5964896172958625, -4.2751617415221785, -117.99584125768979]",1260.7815622852288,226221.66662323195
3,indi_3_548,"[84.35851052676892, 42.643047590647015, 5.583560161654911, -0.8832244709109331, 66.57272174406613, 25.62431216506903, -97.81508974114841, 6.785314568230899, 56.0232199753632, -57.3166454426677, 0.9419049643682683, 0.1707727997741322, -21.652042578085332, 35.64603649013906, -12.121340548865067, -15.17098644279699, -132.55461647923437, -2.9810476024156882, -20.249486508042676, -0.17024806456331693]",717.9915438112209,171738.2986709452
4,indi_4_584,"[104.81564433341208, 39.645713335824915, 2.3295277145661153, -3.385099537260098, 0.05434525792650224, 22.084794922635623, -11.649827487659623, 39.418357846030005, 4.738208080222324, -0.5185456953915017, 9.84229754220145, 20.16352818178317, -1.329216660509615, 6.55756746345181, -18.518924120980433, -10.89017533742513, -107.53312959783686, -0.25892942635246696, 0.7170869059583901, -37.88944279812684]",622.7046450704578,235633.30944592174
5,indi_5_604,"[89.57899815789322, 38.77774072196005, 10.6907569096076, -3.4549783724951313, 84.01908625417524, 17.05206199819989, -8.888329700601437, 7.287849802129596, 14.260012233768427, -40.54383753404596, 4.352438316451573, 50.225201854267084, -19.651935011747128, 19.815015334261677, -5.212941593042688, -0.7221882273133781, -99.28794164986934, 0.41437152548409484, -1.1859812500500284, -8.854776808325603]",600.1236215763839,217935.18741489976
6,indi_6_168,"[90.70658934286233, 38.770410636452915, 10.651095014989664, -2.7417739729572053, 10.003584777939999, 164.18903539044263, -9.19111269059377, 52.39840456814362, 13.515809787432797, -16.224057400250278, 3.1325860408283703, 40.14264956270684, -37.01486473246196, 24.296802864319915, -16.841952653594088, -1.0860778569505574, -104.07343236364969, 0.12533391086016799, -0.9665276103487532, -9.07506995677337]",597.678541352468,183281.1826178695
7,indi_7_391,"[89.53719250083186, 38.68636365642183, 12.498539163436067, -3.1942226378868566, 19.800110589557335, 131.81480505972667, -12.933365574038685, 16.442215395227226, 9.694137004232907, -22.565029896823162, 4.2627959555009864, 49.16631215785284, -36.98718482439993, 49.829829458222, -39.06593323840086, -0.8315371338456058, -100.37359322813946, -0.057821847753125134, -0.626403655683005, -16.084408646378485]",596.6000132955214,198236.73956021463
8,indi_8_86,"[82.15859982583407, 38.68907178208318, 17.475459636109857, -2.598714913573245, 23.143228069837306, 120.00309070374762, -14.626881350910159, 31.259795269547368, 10.256917825153359, -24.159500454721403, 3.5534375503997113, 46.40243986937717, -37.71452999812802, 44.4261350462631, -31.838950652148085, -1.0760554628955736, -104.18554872494065, 0.0017456558508458855, -1.3080167374662914, -14.37064123483512]",595.9574112772444,192610.49872508127
9,indi_9_11,"[82.68782175162642, 38.69323858384113, 17.14411627081352, -2.6173370104553877, 48.650144193363694, 121.16880031184397, -14.766289363575082, 31.727079917969203, 9.983966944667156, -23.655874455659287, 3.6454099534277886, 44.321971696011765, -45.29014569492689, 49.75094958691692, -20.982563865196532, -1.0150521692054113, -103.5267476139797, -0.023628879395568438, -1.1113988370483021, -15.043729425432577]",595.6654972454332,186269.30300694375
