generation,best_id,best_genotype,best_fitness,diversity
0,indi_0_162,"[78.71100482248188, 38.92022370669298, 0.7534240890799848, 2.599883236516493, 0.016405476492466514, 0.0002068006693369658, 0.031326036625126834, 0.04049134921719425, 0.054073515409526214, 0.13879142382759715, 1.0852752995462382, 0.05074549000627425, 0.026505990821411016, 0.13437338253851813, 0.3075657393264013, 0.01550611456848841, 13.389032427719753, 0.6121617790914835, 0.616586223181463, 0.1734818988475707]",3119.879744358899,8092.700416580144
1,indi_1_220,"[62.37905942048277, 38.75721989592327, 0.5626024516657485, -2.711158772237121, 0.04443801388780858, 0.00029793609859303093, 0.02685915286505757, 0.024128974919172808, 0.05282574943435575, 0.05764159126190732, 0.4833922368241202, 0.08065696993779164, 0.0832292133580449, 0.1440872281831633, 0.29630860889291466, 0.33718478634216675, 31.366160354814284, 0.5590385532824882, 0.6443929972513335, 0.18304750116978802]",2992.707747668751,214224.7839419018
2,indi_2_558,"[4.188887589467065, 48.42570839329573, 278.7109940958231, -8.740410322456851, 197.47322218798172, 36.616483087227415, -32.078358548465594, 161.23512261373418, -59.20711182831827, 14.87124547432929, 152.51497965952942, 21.453591075480674, -6.938144819582708, -16.6583178511854, -78.00306574121699, -144.02909812518595, -119.75360356078004, -130.4920536872086, 204.3927372471816, 68.38057453397899]",853.6893248530278,216103.23558869696
3,indi_3_522,"[59.597413807885204, -29.147501078661016, -140.61925830966624, -1.0993632881585336, 171.45177821854173, 146.4002396286409, -8.548117240011424, -147.25963722907457, 5.739163714122672, 4.3781258013515485, -8.340695076800127, 25.926858336719867, -2.875824066760673, 178.5664950736536, 51.25103242828817, -32.98127329013057, 86.0431860229758, -10.041586566902595, 10.318740725897948, 7.249660417485268]",522.292849851409,259299.23446391145
4,indi_4_348,"[105.88051124110068, -14.490162508824424, -28.437029668417225, -2.9164690171721377, 224.7388766772675, 149.394039741633, -57.775120077281244, 104.65227449618355, -70.19584702724065, 81.73912059925365, -4.109497379837734, 37.63347069830376, -1.5293044714337805, 11.864607425420289, -37.503436371734054, -20.683562151500144, 38.76969671437562, -110.77947561881669, 49.316125825482416, 86.40253830872997]",427.8843980501881,246690.01946337253
5,indi_5_66,"[-17.76528792871575, 5.45603059531372, 10.261683201071904, -0.37744264600892685, 55.99315814434545, 161.40029136598875, -29.638514233347536, 90.46888504204628, -58.22813506590983, 30.798483113988297, 152.16276744389202, 59.390284360627355, -1.4260312057650406, 12.25990014241937, 1.5560457741546507, -12.134785456168169, -16.452074672984836, -73.78014053097881, 56.89478449695359, 70.15253993766166]",203.00900098947344,244405.28828973652
6,indi_6_577,"[38.24284652619476, 1.5058471692699444, 13.550113684692262, -1.5038403449570883, 98.77732200633129, 119.25487992109669, -15.970275476103549, -97.62849012670956, -53.13729787346611, 9.592534975875804, 80.48866210351692, 12.401561084469327, -1.4658846603338849, -3.886882149285309, 3.873399733618834, -67.32525646427241, 0.2548187169024727, -19.89885370980787, 49.68094283322363, 21.104197474005325]",92.80983037501191,221073.8003032555
7,indi_7_94,"[55.53622933077678, -0.44184583254541765, -10.199290550793863, -0.477104697682055, 89.40389120848093, 125.83789810158365, -14.673139605811976, -38.60702978863346, -65.6423211263548, 38.85312930650553, 53.70064659080902, 16.452273911946747, -1.942420443375077, -0.8117918427632298, -25.65428021853071, -18.721983965660193, 3.3567289327626, -67.36163313441241, 19.44837418257906, 47.05113580221171]",46.33947643179494,208617.55357313904
8,elite_8,"[55.53622933077678, -0.44184583254541765, -10.199290550793863, -0.477104697682055, 89.40389120848093, 125.83789810158365, -14.673139605811976, -38.60702978863346, -65.6423211263548, 38.85312930650553, 53.70064659080902, 16.452273911946747, -1.942420443375077, -0.8117918427632298, -25.65428021853071, -18.721983965660193, 3.3567289327626, -67.36163313441241, 19.44837418257906, 47.05113580221171]",46.33947643179494,189535.62064526114
9,indi_9_220,"[55.546778274892894, -0.4753274529198926, -4.013058899440797, 0.24863566632471773, 80.40732530659791, 126.05512116853556, -14.677739245544235, -34.01368673920754, -52.53427028442954, 33.06982609332497, 45.38495932365157, 16.118415212982875, -2.2805255495036856, 6.453628922171463, 14.129955622837251, -54.37820011698798, -0.9938168446392549, -58.325377419146065, 17.30499696950155, 40.853301867853276]",31.234780944354632,184152.8784535952
10,indi_10_225,"[55.83640855350725, -0.5944429633477561, -10.454777159348538, 0.038114147447790264, 95.9308621479368, 117.93235079857533, -31.63225954423713, -38.27264230086577, -61.7211408492844, 28.77631782874643, 37.47117823679579, 21.114303481889188, -1.9697197293628492, 10.328782908707648, -17.106121880088118, -46.07501372009767, 0.2406637007689389, -57.18351752786403, 21.573530632405415, 44.01019238583484]",18.478334495641235,181559.8585853836
11,indi_11_353,"[55.84061968084253, -0.48305360382329426, -4.127610492754707, 0.047200496014071024, 57.893041800575816, 128.02558452676925, -28.199695525824172, -18.232237983757702, -36.20961845942236, 20.850269040358086, 34.12154711136377, 17.665521292296965, -2.2367372803324383, 8.257902010956641, -13.16194504208207, -50.0303210285712, 0.23658154837411363, -59.77401348346771, 22.450444717821547, 27.897306190465056]",14.40707047071867,219121.17364372592
12,indi_12_98,"[53.59039337405731, -0.27043827867896447, -8.64064148728381, 0.011698516169692051, 97.52369989461083, 125.46155445448815, -41.696937787572566, -0.2781786955067368, -56.48771912532217, 25.274841028831677, 36.40874359447203, 23.44385243835719, -2.1868304074053944, 19.390199758338337, -8.699228455743581, -60.19811836650669, -0.07770250940735951, -67.47330620299421, 24.512577122160184, 26.494050574593075]",14.398431289621435,191821.382175433
13,indi_13_458,"[52.483203370154, -0.18245352919431893, -6.2361113569071325, -0.006423406491264185, 91.38096511311358, 119.95256061172509, -28.203090886164865, -32.37764262186969, -50.88512480539757, 24.985958661877227, 33.27816412161485, 17.622880922609614, -2.328499983546931, 7.809588439576248, -19.182192582471608, -51.89609588321545, -0.582748147142672, -55.05879258040082, 30.56689125098604, 25.37138057833724]",14.135711300283823,187053.08730640853
