generation,best_id,best_genotype,best_fitness,diversity
0,indi_0_164,"[76.84438324742894, 1.07435614483611, 0.2681305789938758, -3.4297512480445445, 2.752238621197502, 2.0472026909228798, 3.327677103817494, 3.1608037925629158, 2.7131533432858377, 2.6978302153806895, 2.630131482234592, 6.56058545505852, 1.1463792507673585, 8.684986499656858, 0.15210866340888043, 11.949900043635893, 14.440732895042027, 14.134419396724603, 1.2500592227526695, 14.35468444742717]",235.26861565554674,8718.31929060414
1,elite_1,"[76.84438324742894, 1.07435614483611, 0.2681305789938758, -3.4297512480445445, 2.752238621197502, 2.0472026909228798, 3.327677103817494, 3.1608037925629158, 2.7131533432858377, 2.6978302153806895, 2.630131482234592, 6.56058545505852, 1.1463792507673585, 8.684986499656858, 0.15210866340888043, 11.949900043635893, 14.440732895042027, 14.134419396724603, 1.2500592227526695, 14.35468444742717]",235.26861565554674,571107.6281342289
2,indi_2_43,"[34.43787174876863, 1.326155854272744, 0.9110616885120946, -1.9552270102156282, 1.7143140781341615, 1.450477535402637, 3.2246862971629833, 2.2686971199526873, 3.192978264221768, 5.050221484009111, 4.317713581594681, 1.9251877081512465, 5.310141324123569, 3.366139267758301, 5.83823121752422, 2.1886256922819403, 10.692929926355909, 3.0070572782275926, 10.971519598597219, 16.754890531148376]",198.3418260619817,550639.9528859946
3,indi_3_448,"[12.585753404150838, 0.4317592277967521, 0.7589920370649026, -1.6779748010486337, 2.6530427045620897, 1.1245966649590766, 4.278771697197321, 2.6813134401896743, 2.6937638598633247, 3.798307156425712, 4.168619640438599, 8.478934218623662, 0.8563258107350913, 6.240555335070379, 0.3326850895499589, 9.747352374755076, 10.448050290491144, 5.112014794342324, 10.805358226777797, 11.18727352605971]",145.91219204773105,567396.7825301853
4,elite_4,"[12.585753404150838, 0.4317592277967521, 0.7589920370649026, -1.6779748010486337, 2.6530427045620897, 1.1245966649590766, 4.278771697197321, 2.6813134401896743, 2.6937638598633247, 3.798307156425712, 4.168619640438599, 8.478934218623662, 0.8563258107350913, 6.240555335070379, 0.3326850895499589, 9.747352374755076, 10.448050290491144, 5.112014794342324, 10.805358226777797, 11.18727352605971]",145.91219204773105,500480.7289299163
5,indi_5_349,"[39.222056412455466, 1.014153026408996, 0.9199120285555422, -1.766922572120849, 2.6624780892338573, 1.5113472487598891, 3.8679967504715353, 2.9739843512986397, 3.0030555939804664, 5.017402045328766, 4.250587460769074, 6.568890814965741, 5.83854886276954, 3.4931984191994627, 4.166330792396574, 3.1064236888862493, 6.474053384674715, 5.122579879090729, 4.842236450519476, 14.223016690927247]",124.26159743885938,506009.37670223985
6,indi_6_698,"[22.704536287076692, 0.5567411842052278, 0.7243762306398271, -1.3547377761288701, 2.3597867124040275, 1.1853237802561525, 3.9021623851069407, 2.8861922922758563, 2.7468270157765975, 4.086464827239329, 3.9054686415433597, 7.162557466515308, 2.541862123940376, 4.004814517099609, 2.101108231925839, 6.653641021607391, 6.150632833998625, 8.605225777161683, 12.545868610631913, 15.094597233695955]",106.65809923338195,533401.6768393535
7,indi_7_241,"[23.4072533068884, 0.5348180960397817, 0.76148796632255, -1.5429477328616765, 2.0632507287290762, 1.3439088447650924, 3.6512748788403604, 2.8255043316584, 3.0808497964765, 4.131991732261926, 3.9885420563460325, 6.141514723957648, 2.3661458795191956, 4.790219712328778, 2.3287845148182114, 4.434384164193258, 6.394905186698085, 7.9177305392086845, 12.604132425902062, 12.833550765419938]",106.50949206844147,562190.9159016514
8,indi_8_545,"[23.782563785311012, 0.3890965916299093, 0.755584760154602, -1.4529289494186335, 2.3112248759330023, 1.1757797735442526, 3.9809486351019188, 2.7646931115036644, 2.9514005119888678, 4.518557984955901, 3.9997871811714028, 6.614372123194022, 3.2994529261968975, 4.706990271761086, 3.6996480433790198, 7.110758060601939, 6.447048592510318, 7.062000018720687, 11.908643037129583, 14.156744929025116]",104.28807473337814,537350.4528577192
9,indi_9_467,"[23.75060332015203, 0.2667857081434199, 0.7600153958307279, -1.545805793770834, 2.2544356677726825, 1.2814865707866927, 3.694691340816839, 2.7125861949524213, 3.1541000988867927, 4.311004560745754, 3.9921574127863426, 6.51720824081459, 3.3527825681975947, 4.891175334469269, 2.9629112143348943, 6.239575975463943, 6.470210807049785, 7.0036934704799645, 11.919523479915442, 13.710631317081205]",102.29875544007666,552407.9224225314
10,indi_10_530,"[17.05988773665032, 0.28151901763199544, 0.7929345420136586, -1.532984256859116, 2.2923870076137867, 1.3912461977060269, 3.7707492459011003, 2.94454378831526, 3.1405475302998123, 4.065942546616488, 3.986949823948268, 6.995846555662497, 3.24353570587515, 4.210826487235278, 2.883998830948616, 6.145145815055887, 6.582417642938381, 5.666348854929306, 11.747591119131213, 13.554131694956771]",100.38171845077811,548441.3278048816
11,indi_11_365,"[17.19966148867566, 0.31564715949397054, 0.7794050135742728, -1.4675384562242413, 2.308060978373061, 1.2691105009240502, 3.81691747564083, 2.9321794654367954, 2.948687713894583, 4.071810808750329, 3.9910017123498895, 7.018601880613111, 2.928072298066837, 4.339973327698389, 2.8862506998057014, 6.5512596162691015, 6.579905027880658, 5.7149767734266135, 11.651123744723606, 13.631686095508456]",99.862642634637,561045.1462517662
12,indi_12_278,"[16.08173906539795, 0.27557109595944496, 0.7599158108411134, -1.5041509611696373, 2.2682682793657207, 1.2818338205529232, 3.827050617366865, 2.725554945728824, 2.962244076219947, 4.111686532694795, 4.0818754121871805, 7.046567693185455, 3.1600598203393493, 4.770183928248254, 2.9482499447213852, 5.879757875023586, 6.530773689152566, 6.4059308648061375, 11.16304185994476, 13.722528273335099]",99.23076260761219,562425.1947351572
13,indi_13_79,"[18.58983872192054, 0.2911601784901673, 0.7666758609041782, -1.4743079679033682, 2.3254983627776444, 1.234069269320455, 3.7648002112670524, 2.818789588707934, 2.968904630716213, 4.100357758393237, 4.002894076343582, 7.250032853566571, 3.4246998232593513, 4.435430455859404, 2.667669367308319, 6.197687527484537, 6.480988495652581, 5.71000744643156, 10.532864993829282, 13.70775153378919]",98.64161736836931,540678.0270016429
14,indi_14_125,"[15.441044182130865, 0.2835980505351584, 0.7592613848308805, -1.4857563287927993, 2.346636943487363, 1.2174794491334278, 3.827599684907547, 2.759969204889743, 3.052884010285055, 4.19098710782248, 3.9963664742404235, 6.731553386130442, 3.01556786343839, 4.86391036079882, 2.3749240262181517, 5.720579587792093, 6.5300919499129595, 5.755259721844736, 10.866306436142047, 13.683676924096988]",98.09446605964057,535031.1421179975
15,indi_15_171,"[16.52277456202884, 0.2808475031024457, 0.7724571904631163, -1.474917305073205, 2.2839438524731457, 1.2404833252682774, 3.804457187122776, 2.807505507144364, 2.970180905347019, 4.126009106302603, 4.040662909803811, 7.165220455828859, 3.169855061276014, 4.588739623541394, 2.849909787142252, 6.177202410632652, 6.489775067595366, 5.922607281157125, 10.226312562452428, 13.734739196207407]",97.92577058039707,504436.89331354684
16,indi_16_164,"[15.138901467485587, 0.3002225839023812, 0.7731212060620737, -1.486249557414705, 2.3328606441218542, 1.2399215102954546, 3.7953472610240038, 2.7843873996780015, 2.9983838132945886, 4.146125056449578, 4.041433660792788, 7.047926723815769, 3.2647471891886424, 4.525998790437477, 2.4328190090161517, 5.905523150512665, 6.49212942417007, 5.7605025689847995, 10.415525229934687, 13.707297402876641]",97.92091343754309,603787.6023419161
17,indi_17_438,"[15.66845291120268, 0.2819294686557644, 0.7674665208894857, -1.476783333674058, 2.297832412323205, 1.2558758941782253, 3.816421976833812, 2.789345665083533, 2.971177088779361, 4.146639335919373, 4.050428198368648, 7.127953290975322, 2.975351156997387, 4.5555447029505665, 2.387818800695764, 6.112521944411354, 6.5061581641896815, 5.931044997392034, 10.227964124128414, 13.583286181303174]",97.6142024352504,562876.5200279307
18,indi_18_373,"[15.324404535283232, 0.28210063890418857, 0.7676961549347459, -1.4772300736773436, 2.3113060396075866, 1.256719310772912, 3.814347548734969, 2.797284791701235, 2.9898530913577104, 4.1422979386036936, 4.038842034780536, 7.112573960932454, 2.9638462577359244, 4.543535402991026, 2.5366596120909763, 6.147923368202695, 6.506091432976867, 5.9004128479858, 10.246155510955221, 13.633636057392488]",97.59146546244155,567155.8472230427
19,indi_19_459,"[15.160328128959414, 0.2825901421478632, 0.7673104195796313, -1.4780922674624892, 2.3209467487514446, 1.2398074938142394, 3.8246273903249604, 2.7738148190050422, 2.992517152329271, 4.141358317333281, 4.044332054586621, 6.915460073104135, 3.3071098142634594, 4.569941930995932, 2.5969476065946395, 5.924987238783722, 6.492488330695416, 5.756907611147412, 10.307949068942653, 13.701695298561436]",97.4764251265987,534063.2316695516
20,indi_20_214,"[15.176646784824982, 0.2844040667154181, 0.7675717697640565, -1.477319441565005, 2.318934483587523, 1.23874367177783, 3.8169891444504422, 2.7930444587449825, 3.000658115577405, 4.158316270253754, 4.028741327746407, 6.882112391593029, 3.072933907661823, 4.545154649050605, 2.5061698888151067, 5.96727837845868, 6.498437832412501, 5.866787248038108, 10.254351476894133, 13.648736422200479]",97.45680724703509,546299.8381718507
21,indi_21_382,"[15.081189882713042, 0.283353908991399, 0.7683882229374215, -1.4748316910439656, 2.3195590709899667, 1.2563481073762943, 3.8063164326257604, 2.785521559715012, 2.9948670874385694, 4.14250155520968, 4.033048058200105, 6.952968752616246, 3.099025383934431, 4.530440580967207, 2.5373303189102803, 5.887965695357572, 6.497089126378443, 5.8337216174471695, 10.331655070518627, 13.692824796954923]",97.39564945441552,541594.1781963885
22,indi_22_332,"[15.066384930079991, 0.28350904189130915, 0.7692197856342816, -1.4745906501305042, 2.3188337451596057, 1.2522990047441112, 3.8202585239471674, 2.7857593983384077, 3.012785700138446, 4.1601309917559295, 4.038252279954106, 6.914661266216395, 3.0092911660675155, 4.5636702092181975, 2.5785977540960334, 5.969655132593696, 6.495232163197517, 5.761661707083215, 10.292484959077367, 13.669048476536986]",97.338972592168,509897.24447642895
